1.138, 0.0484, -0.1209, 0.0725
1.144, 0.0282, -0.1169, 0.0886
1.151, -0.1007, -0.4271, 0.5278
1.157, 0.1974, 0.0121, -0.2095
1.163, 0.4593, -0.0725, -0.3868
1.169, 0.1007, 0.0161, -0.1168
1.176, 0.1491, -0.1531, 0.0040
1.182, -0.1733, -0.0766, 0.2498
1.188, 0.0685, 0.2901, -0.3586
1.194, -0.0363, 0.0846, -0.0484
1.201, -0.0685, 0.3223, -0.2538
1.207, -0.0604, -0.0685, 0.1289
1.213, -0.2458, -0.1974, 0.4432
1.219, -0.2055, -0.1168, 0.3223
1.226, -0.0161, -0.2095, 0.2256
1.232, 0.1370, 0.3143, -0.4513
1.238, 0.2579, 0.2377, -0.4956
1.244, -0.1813, -0.0201, 0.2015
1.251, 0.3062, 0.1048, -0.4110
1.257, -0.0645, -0.0443, 0.1088
1.263, -0.1491, -0.2941, 0.4432
1.269, 0.2418, 0.1894, -0.4311
1.276, 0.1652, 0.1289, -0.2941
1.282, -0.1007, -0.3344, 0.4352
1.288, -0.0363, -0.1974, 0.2337
1.294, 0.0886, -0.0886, 0.0000
1.301, -0.5480, -0.0443, 0.5923
1.307, 0.3908, 0.1209, -0.5117
1.313, 0.2579, 0.0524, -0.3103
1.319, 0.2821, 0.1168, -0.3989
1.326, 0.1289, -0.0725, -0.0564
1.332, 0.0363, 0.3908, -0.4271
1.338, 0.1974, 0.1451, -0.3425
1.344, 0.0806, 0.0524, -0.1330
1.351, 0.1773, 0.1974, -0.3747
1.357, -0.2579, -0.0645, 0.3223
1.363, -0.1894, -0.0201, 0.2095
1.369, 0.1410, -0.0564, -0.0846
1.376, -0.1289, -0.0282, 0.2861
1.382, 0.4231, -0.0121, -0.4110
1.388, -0.0081, -0.1813, 0.1894
1.394, -0.1168, -0.2337, 0.3505
1.401, -0.0604, -0.2136, 0.2740
1.407, 0.3264, 0.2740, -0.6004
1.413, 0.1209, 0.1410, -0.2619
1.419, -0.0484, 0.0846, -0.0363
1.426, 0.2256, 0.0443, -0.2700
1.432, -0.0645, 0.2176, -0.1531
1.438, 0.0685, 0.1209, -0.1894
1.444, 0.1692, 0.0766, -0.2458
1.451, 0.2982, 0.2055, -0.5037
1.457, -0.5641, -0.4392, 1.0033
1.463, -0.0040, -0.1048, 0.1088
1.469, 0.2579, 0.1934, -0.4513
1.482, 0.1531, -0.2216, 0.0685
1.488, -0.0967, -0.1128, 0.2095
1.494, -0.1048, -0.1289, 0.2337
1.501, 0.2176, 0.0685, -0.2861
1.507, -0.1531, -0.0443, 0.1974
1.513, 0.1652, -0.0081, -0.1571
1.519, 0.2700, 0.1330, -0.4029
1.526, 0.1773, 0.2176, -0.3949
1.532, -0.1249, -0.1289, 0.2538
1.538, -0.0685, 0.0645, 0.0040
1.544, 0.0886, 0.1531, -0.2418
1.551, -0.0484, 0.0040, 0.0443
1.557, 0.2538, 0.2256, -0.4795
1.563, -0.1370, -0.0121, 0.1491
1.569, -0.0766, -0.0886, 0.1652
1.576, -0.2861, -0.2780, 0.5641
1.582, 0.1571, 0.0645, -0.2216
1.588, 0.2297, 0.2256, -0.4553
1.594, 0.1491, -0.0403, -0.1088
1.601, 0.4352, -0.0040, -0.4311
1.607, -0.1249, -0.0403, 0.1652
1.613, 0.0443, 0.0524, -0.0967
1.619, 0.0645, -0.0443, -0.0201
1.626, -0.0725, -0.0524, 0.1249
1.632, 0.2337, 0.3989, -0.6326
1.638, -0.2458, -0.0363, 0.2821
1.644, 0.0363, 0.0806, -0.1168
1.651, -0.2619, 0.0000, 0.2619
1.657, 0.1612, 0.0725, -0.2337
1.663, 0.0524, -0.1612, 0.1088
1.669, -0.1692, -0.0484, 0.2176
1.676, 0.0040, -0.2216, 0.2176
1.682, -0.0725, 0.1128, -0.0403
1.688, 0.3828, 0.1249, -0.5077
1.694, 0.1410, 0.2015, -0.3425
1.701, 0.2901, -0.0040, -0.2861
1.707, -0.0282, 0.0121, 0.0161
1.713, -0.0685, -0.0524, 0.1209
1.719, 0.1451, 0.2136, -0.3586
1.726, -0.0564, 0.0725, -0.0161
1.732, 0.4996, 0.2176, -0.7172
1.738, -0.2619, -0.1209, 0.3828
1.744, -0.1853, 0.0363, 0.1491
1.751, -0.0685, -0.0484, 0.1169
1.757, 0.0282, 0.0363, -0.0645
1.763, 0.1571, 0.1652, -0.3223
1.769, -0.0484, -0.0766, 0.1249
1.776, 0.1773, 0.0886, -0.2659
1.782, -0.2619, -0.1088, 0.3707
1.788, -0.0524, 0.0403, 0.0121
1.794, 0.1612, 0.1612, -0.3223
1.801, -0.2055, 0.0886, 0.1168
1.807, 0.2095, -0.1773, -0.0322
1.813, -0.1813, -0.1370, 0.3183
1.819, -0.0403, -0.2659, 0.3062
1.826, -0.0806, 0.0484, 0.0322
1.832, 0.2659, 0.1169, -0.3828
1.838, 0.2095, 0.0443, -0.2538
1.844, -0.0967, -0.1169, 0.2136
1.851, 0.2982, -0.0645, -0.2337
1.857, -0.2538, 0.1289, 0.1249
1.863, 0.0927, 0.1209, -0.2136
1.869, 0.1169, -0.8542, 0.7374
1.876, -0.0242, -0.0927, 0.1168
1.882, -0.0201, -0.0927, 0.1128
1.888, 0.0484, 0.1410, -0.1894
1.894, 0.2095, 0.1733, -0.3828
1.901, 0.1088, 0.0081, -0.1168
1.907, 0.3344, -0.1370, -0.1974
1.913, 0.0725, 0.1894, -0.2619
1.919, 0.0604, -0.1612, 0.1007
1.926, -0.0604, -0.0766, 0.1370
1.932, 0.1612, 0.2297, -0.3908
1.938, 0.1571, 0.0886, -0.2458
1.944, 0.2095, 0.3989, -0.6084
1.951, 0.0967, -0.0363, -0.0604
1.957, -0.1733, 0.0967, 0.0766
1.963, -0.0363, 0.1249, -0.0886
1.969, 0.0645, 0.2297, -0.2941
1.976, 0.1733, 0.3344, -0.5077
1.982, 0.1451, -0.1289, -0.0161
1.988, -0.1169, -0.0725, 0.1894
1.994, 0.2377, 0.0645, -0.3022
2.001, -0.0363, -0.0040, 0.0403
2.007, 0.1813, 0.0766, -0.2579
2.013, 0.0806, -0.0806, 0.0000
2.019, 0.0484, -0.0363, -0.0121
2.026, 0.0282, -0.2498, 0.2216
2.032, -0.0282, 0.2377, -0.1128
2.038, 0.1853, 0.0282, -0.2136
2.044, -0.0121, 0.0766, -0.0645
2.051, -0.1249, -0.1451, 0.2700
2.057, -0.1652, -0.1531, 0.3183
2.063, -0.0806, -0.0040, 0.0846
2.069, -0.0604, -0.0242, 0.0846
2.076, -0.0363, -0.0967, 0.1330
2.082, 0.3103, 0.0846, -0.3949
2.088, -0.1894, -0.0201, 0.2095
2.094, -0.0725, -0.0927, 0.1652
2.101, 0.0201, 0.0040, -0.0242
2.107, 0.1773, -0.7938, 0.6165
2.113, 0.1410, -0.1249, -0.0161
2.119, 0.2418, -0.0040, -0.2377
2.126, -0.0604, -0.2297, 0.2901
2.132, -0.2538, 0.0685, 0.1853
2.138, 0.2418, 0.1168, -0.3586
2.144, -0.0645, 0.0121, 0.0524
2.151, 0.3223, 0.5399, -0.8623
2.157, -0.2095, -0.3788, 0.5883
2.163, -0.0443, 0.2700, -0.2256
2.169, -0.1128, -0.0161, 0.1289
2.176, -0.2941, 0.0564, 0.2377
2.182, 0.2740, 0.0121, -0.2861
2.188, -0.0081, 0.0484, -0.0403
2.194, 0.2901, -0.0766, -0.2136
2.201, -0.0725, -0.2579, 0.3304
2.207, -0.3788, -0.0363, 0.4150
2.219, -0.0282, 0.0242, 0.0040
2.226, -0.0081, 0.0403, -0.0322
2.232, -0.1451, -0.1410, 0.2861
2.238, -0.0927, -0.0564, 0.1491
2.244, 0.0040, 0.2176, -0.2216
2.251, 0.0967, -0.0161, -0.0806
2.257, 0.0645, 0.1209, -0.1853
2.263, -0.2095, 0.0403, 0.1692
2.269, -0.1370, -0.3828, 0.5198
2.276, -0.3385, 0.1088, 0.2297
2.282, 0.2740, 0.2579, -0.5319
2.288, 1.1040, 1.0516, -2.1557
2.294, 0.2256, 0.0403, -0.2659
2.301, 0.1733, 0.0524, -0.2256
2.307, -0.1974, 0.1813, 0.0161
2.313, -0.1048, 0.0000, 0.1048
2.319, 0.0927, 0.1209, -0.2136
2.326, 0.1491, -0.0725, -0.0766
2.332, -0.3304, -0.3868, 0.7172
2.338, 0.0040, -0.1088, 0.1048
2.344, -0.1571, -0.1894, 0.3465
2.351, -0.2095, -0.3505, 0.5601
2.357, 0.5077, -0.0725, -0.4352
2.363, 0.0484, -0.0685, 0.0201
2.369, 0.3304, 0.0040, -0.3344
2.376, 0.1773, 0.2136, -0.3908
2.382, 0.0040, -0.0484, 0.0443
2.388, 0.0322, -0.1370, 0.1048
2.394, 0.1813, 0.0967, -0.2780
2.401, -0.3949, 0.1692, 0.2256
2.407, -0.2821, -0.0484, 0.3304
2.413, -0.0443, -0.1491, 0.1934
2.419, -0.2256, -0.0161, 0.2418
2.426, -0.2821, -0.1692, 0.4513
2.432, 0.2700, -0.0725, -0.1974
2.438, 0.2377, 0.0967, -0.3344
2.444, -0.0604, -0.1128, 0.1733
2.451, -0.0725, -0.1128, 0.1853
2.457, 0.2176, -0.0040, -0.2136
2.463, 0.1853, 0.1451, -0.3304
2.469, 0.2297, -0.0161, -0.2136
2.476, 0.2861, 0.1853, -0.4714
2.482, -0.2377, 0.0846, 0.1531
2.488, -0.2901, -0.1571, 0.4473
2.494, 0.0282, 0.3143, -0.3425
2.501, -0.0403, -0.0766, 0.1169
2.507, 0.1410, 0.3626, -0.5037
2.513, -0.0927, -0.1491, 0.2418
2.519, -0.1652, -0.1088, 0.2740
2.526, -0.0403, -0.0645, 0.1048
2.532, 0.3868, 0.1209, -0.5077
2.538, 0.3264, 0.1370, -0.4634
2.544, 0.1451, -0.1853, 0.0403
2.551, 0.0725, 0.0282, -0.1007
2.557, 0.2136, 0.2176, -0.4311
2.563, -0.1813, 0.1088, 0.0725
2.569, 0.1168, 0.3707, -0.4875
2.576, 0.2136, 0.1370, -0.3505
2.582, -0.3304, -0.0403, 0.3707
2.588, 0.0725, -0.2256, 0.1531
2.594, -0.0886, -0.0524, 0.1410
2.601, -0.3103, -0.1894, 0.4996
2.607, 0.2941, 0.1692, -0.4634
2.613, 0.1733, 0.1128, -0.2861
2.619, -0.0524, -0.1330, 0.1853
2.626, 0.1451, 0.1652, -0.3103
2.632, -0.2136, -0.1289, 0.3425
2.638, 0.0886, 0.1934, -0.2821
2.644, 0.0645, 0.0040, -0.0685
2.651, 0.1330, 0.0604, -0.1934
2.657, -0.1451, -0.1370, 0.2821
2.663, 0.0443, -0.0645, 0.0201
2.669, 0.0322, 0.1451, -0.1773
2.676, 0.0725, -0.0886, 0.0161
2.682, -0.0322, -0.1773, 0.2095
2.688, -0.2740, -0.3546, 0.6286
2.694, 0.1813, -0.0443, -0.1370
2.701, -0.0886, -0.9549, 1.0436
2.707, 0.3183, 0.2619, -0.5802
2.713, 0.1169, 0.1652, -0.2821
2.719, 0.0161, -0.1813, 0.1652
2.726, 0.0806, 0.0564, -0.1370
2.732, -0.1169, -0.0524, 0.1692
2.738, 0.1370, 0.1451, -0.2821
2.744, 0.2055, -0.0685, -0.1370
2.751, 0.1612, 0.0363, -0.1974
2.757, -0.1612, -0.1531, 0.3143
2.763, -0.1370, -0.3264, 0.4634
2.769, -0.0201, 0.1249, -0.1048
2.776, 0.1007, 0.1088, -0.2095
2.782, 0.1451, 0.1330, -0.2780
2.788, -0.0161, -0.0161, 0.0322
2.794, -0.1451, -0.0604, 0.2055
2.801, -0.4473, -0.1934, 0.2982
2.807, 0.1652, 0.1168, -0.2821
2.813, 0.2377, 0.1491, -0.3868
2.819, -0.0242, 0.2015, -0.1773
2.826, -0.0242, 0.0201, 0.0040
2.832, -0.2498, -0.1692, 0.4190
2.838, -0.1088, -0.2538, 0.3626
2.844, 0.0282, 0.2458, -0.2740
2.851, 0.0282, 0.0685, -0.0967
2.857, -0.0081, 0.1451, -0.1370
2.863, 0.0604, -0.0806, 0.0201
2.869, -0.1853, -0.1330, 0.3183
2.876, 0.2941, 0.2982, -0.5923
2.882, 1.0275, 1.2048, -2.2322
2.888, 0.1853, 0.0806, -0.2659
2.894, 0.3989, -0.1209, -0.2780
2.901, 0.2095, 0.1209, -0.3304
2.907, -0.1773, -0.1934, 0.3707
2.913, -0.0604, -0.0081, 0.0685
2.919, 0.3223, 0.3989, -0.7212
2.926, -0.2297, -0.1571, 0.3868
2.932, 0.1612, 0.0766, -0.2377
2.938, 0.0524, -0.1531, 0.1007
2.944, 0.0242, -0.0886, 0.1128
2.951, 0.2418, 0.0645, -0.3062
2.963, 0.1410, 0.0403, -0.1813
2.969, 0.0524, -0.3425, 0.2901
2.976, 0.0967, -0.0322, -0.0645
2.982, 0.1128, -0.2740, 0.1612
2.988, -0.0322, 0.0766, -0.0443
2.994, 0.2740, 0.1491, -0.4231
3.001, -0.5319, -0.5278, 1.0597
3.007, 0.3183, 0.2176, -0.5359
3.013, -0.0161, -0.0645, 0.0806
3.019, -0.2095, 0.1048, 0.1048
3.026, -0.0685, -0.3062, 0.3747
3.032, -0.0363, 0.2619, -0.2256
3.038, 0.1128, 0.0685, -0.1813
3.044, -0.2015, -0.0927, 0.2941
3.051, 0.2700, 0.0282, -0.2982
3.057, -0.1773, -0.2136, 0.3908
3.063, -0.1007, 0.0685, 0.0322
3.069, -0.0242, -0.2700, 0.2941
3.076, -0.2216, 0.2700, -0.0484
3.082, 0.1209, -0.2176, 0.0967
3.088, -0.0927, -0.2015, 0.2941
3.094, 0.0040, 0.1813, -0.1853
3.101, -0.1934, -0.4190, 0.6125
3.107, 0.2095, 0.3304, -0.5399
3.113, 0.2256, 0.1088, -0.3344
3.119, -0.0282, -0.0443, 0.0725
3.126, 0.0886, 0.1571, -0.2458
3.132, -0.0725, -0.0886, 0.1612
3.138, -0.1370, 0.0564, 0.0806
3.144, -0.0282, -0.0161, 0.0443
3.151, -0.1330, 0.0524, 0.0806
3.157, -0.1048, -0.1168, 0.2216
3.163, -0.0403, 0.1571, -0.1169
3.169, -0.1330, -0.1652, 0.2982
3.176, -0.2297, -0.1612, 0.3908
3.182, 0.2780, 0.2579, -0.5359
3.188, 0.2780, -0.0081, -0.2700
3.194, 0.1974, 0.1410, -0.3385
3.201, 0.2579, -0.2821, 0.0242
3.207, 0.0363, 0.1169, -0.1531
3.213, 0.2176, -0.0040, -0.2136
3.219, 0.2055, 0.1733, -0.3788
3.226, 0.3103, 0.2780, -0.5883
3.232, 0.0766, 0.0242, -0.1007
3.238, -0.3062, 0.0725, 0.2337
3.244, -0.0846, -0.1209, 0.2055
3.251, 0.0604, 0.0685, -0.1289
3.257, 0.4150, 0.1491, -0.5641
3.263, -0.0081, -0.0282, 0.0363
3.269, 0.2659, -0.0040, -0.2619
3.276, -0.0685, -0.2498, 0.3183
3.282, 0.0201, 0.0886, -0.1088
3.288, 0.1531, 0.0443, -0.1974
3.294, 0.1974, 0.1088, -0.3062
3.301, 0.3989, 0.1451, -0.5440
3.307, -0.0967, -0.2377, 0.3344
3.313, -0.0201, 0.1007, -0.0806
3.319, -0.0766, 0.0846, -0.0081
3.326, -0.0363, 0.1088, -0.0725
3.332, 0.2337, 0.0282, -0.2619
3.338, -0.0685, -0.2377, 0.3062
3.344, 0.1692, 0.0201, -0.1894
3.351, -0.2821, -0.8220, -0.1289
3.357, -0.0161, 0.0766, -0.0604
3.363, 0.1330, 0.0967, -0.2297
3.369, 0.0846, 0.1974, -0.2821
3.376, -0.1007, -0.0564, 0.1571
3.382, 0.2861, 0.1894, -0.4755
3.388, -0.1491, -0.1773, 0.3264
3.394, -0.3344, -0.0322, 0.3667
3.401, -0.0806, -0.1330, 0.2136
3.407, 0.0363, -0.1169, 0.0806
3.413, 0.1813, -0.0322, -0.1491
3.419, 0.2538, -0.2418, -0.0121
3.426, 0.1048, -0.1168, 0.0121
3.432, 0.1813, 0.0201, -0.2015
3.438, 0.1491, 0.1289, -0.2780
3.444, 0.1370, 0.0524, -0.1894
3.451, 0.1692, 0.1531, -0.3223
